rumi	jawi
dipangsikan	دڤڠسيکن
memangsikan	ممڠسيکن
pangsit	ڤڠسيت
panguk	ڤاڠوق
terpanguk	ترڤاڠوق
pangulin	ڤڠولين
pangur	ڤاڠور
pangus	ڤاڠوس
memangus	مماڠوس
pani	ڤاني
panik	ڤانيک
kepanikan	کڤانيکن
panili	ڤانيلي
panir	ڤانير
paniradya	ڤانيراديا
panitera	ڤانيترا
kepaniteraan	کڤانيتراءن
panitia	ڤنيتيا
panja	ڤنجا
panjak	ڤنجق
panjang	ڤنجڠ
berkepanjangan	برکڤنجڠن
berpanjang	برڤنجڠ
berpanjangan	برڤنجڠن
berpanjang-panjang	برڤنجڠ-ڤنجڠ
berpanjang-panjangan	برڤنجڠ-ڤنجڠن
dipanjangkan	دڤنجڠکن
diperpanjang	دڤرڤنجڠ
kepanjangan	کڤنجڠن
memanjang	ممنجڠ
memanjangkan	ممنجڠکن
memperpanjang	ممڤرڤنجڠ
panjangan	ڤنجڠن
pemanjang	ڤمنجڠ
pemanjangan	ڤمنجڠن
sepanjang	سڤنجڠ
sepanjang-panjang	سڤنجڠ-ڤنجڠ
terpanjang	ترڤنجڠ
panjar	ڤنجر
memanjari	ممنجري
panjarwala	ڤنجروالا
panjat	ڤنجت
dipanjat	دڤنجت
memanjat	ممنجت
memanjati	ممنجتي
memanjatkan	ممنجتکن
panjatan	ڤنجتن
pemanjat	ڤمنجت
terpanjat	ترڤنجت
panji	ڤنجي
panji-panji	ڤنجي٢
panjing	ڤنجيڠ
memanjingkan	ممنجيڠکن
panjunan	ڤنجونن
panjut	ڤنجوت
dipanjutkan	دڤنجوتکن
memanjut	ممنجوت
memanjutkan	ممنجوتکن
memanjut-manjut	ممنجوت-منجوت
panjutan	ڤنجوتن
pankek	ڤنکيک
pankreas	ڤنکرياس
panorama	ڤانوراما
panoramik	ڤانوراميک
pansura	ڤنسورا
panta	ڤنتا
pantai	ڤنتاي
berpantai	برڤنتاي
memantai	ممنتاي
pantak	ڤنتق
dipantakkan	دڤنتقکن
memantak	ممنتق
memantakkan	ممنتقکن
pemantak	ڤمنتق
pantakan	ڤنتقن
pantan	ڤنتن
pantang	ڤانتڠ
berpantang	برڤانتڠ
dipantangkan	دڤانتڠکن
kepantangan	کڤانتڠن
memantang	ممانتڠ
memantangkan	ممانتڠکن
pantangan	ڤانتڠن
pemantangan	ڤمانتڠن
perpantangan	ڤرڤانتڠن
pantaran	ڤنتارن
sepantaran	سڤنتارن
pantas	ڤانتس
kepantasan	کڤانتسن
memantas	ممانتس
memantaskan	ممانتسکن
pemantas	ڤمانتس
pemantasan	ڤمانتسن
sepantas-pantas	سڤانتس-ڤانتس
terpantas	ترڤانتس
pantat	ڤنتت
pantau	ڤنتاو
memantau	ممنتاو
pantauan	ڤنتاوان
pemantau	ڤمنتاو
pemantauan	ڤمنتاوان
terpantau	ترڤنتاو
panteisme	ڤنتيئيسمى
pantek	ڤنتيق
memantek	ممنتيق
pantekosta	ڤنتيکوستا
pantelon	ڤنتلون
panti	ڤنتي
pantik	ڤنتيق
memantik	ممنتيق
pemantik	ڤمنتيق
panting	ڤانتيڠ
berpantingan	برڤانتيڠن
terpanting	ترڤانتيڠ
pantis	ڤنتيس
berpantis	برڤنتيس
dipantis	دڤنتيس
memantis	ممنتيس
panto	ڤنتو
pantograf	ڤنتوݢرف
pantomim	ڤنتوميم
pantri	ڤنتري
pantul	ڤنتول
berpantul	برڤنتول
dipantulkan	دڤنتولکن
memantul	ممنتول
memantulkan	ممنتولکن
memantul-mantul	ممنتول-منتول
pemantul	ڤمنتول
pantulan	ڤنتولن
pemantulan	ڤمنتولن
terpantul	ترڤنتول
pantun	ڤنتون
berpantun	برڤنتون
berpantun-pantun	برڤنتون-ڤنتون
berpantun-pantunan	برڤنتون-ڤنتونن
dipantuni	دڤنتوني
dipantunkan	دڤنتونکن
memantuni	ممنتوني
memantunkan	ممنتونکن
pemantun	ڤمنتون
sepantun	سڤنتون
panu	ڤانو
panunggul	ڤانوڠݢول
panus	ڤانوس
papa	ڤاڤ
kepapaan	کڤاڤاءن
memapakan	مماڤاکن
pemapaan	ڤماڤاءن
papadum	ڤاڤادوم
papah	ڤاڤه
berpapah	برڤاڤه
dipapah	دڤاڤه
memapah	مماڤه
papahan	ڤاڤهن
terpapah	ترڤاڤه
papain	ڤاڤاءين
papak	ڤاڤق
berpapakan	برڤاڤقن
memapak	مماڤق
pemapakan	ڤماڤقن
papakerma	ڤڤاکرما
papan	ڤاڤن
dipapani	دڤاڤني
memapan	مماڤن
memapani	مماڤني
sepapan	سڤاڤن
papar	ڤاڤر
dipaparkan	دڤاڤرکن
memapar	مماڤر
memaparkan	مماڤرکن
paparan	ڤاڤرن
pemapar	ڤماڤر
pemaparan	ڤماڤرن
terpapar	ترڤاڤر
paparazi	ڤاڤارازي
papas	ڤاڤس
berpapasan	برڤاڤسن
memapas	مماڤس
papaya	ڤڤايا
papirologi	ڤاڤيرولوݢي
papirus	ڤاڤيروس
pappui	ڤڤڤوي
paprika	ڤڤريکا
paprit	ڤڤريت
papul	ڤاڤول
par	ڤر
para	ڤارا
para-para	ڤارا٢
parabola	ڤارابولا
paracut	ڤاراچوت
parada	ڤارادا
paradam	ڤارادم
memparadam	ممڤارادم
paradam-paradom	ڤارادم-ڤارادوم
paradigma	ڤاراديݢما
paradigmatik	ڤاراديݢماتيک
paradoks	ڤارادوک‌س
paradoksial	ڤارادوکسيال
paradom	ڤارادوم
parafin	ڤارافين
parafrasa	ڤارافراسا
memparafrasa	ممڤارافراسا
paragog	ڤاراݢوݢ
paragraf	ڤاراݢرف
parah	ڤاره
keparahan	کڤارهن
memparahkan	ممڤارهکن
memperparah	ممڤرڤاره
paraji	ڤراجي
parak	ڤارق
berparak	برڤارق
parakit	ڤاراکيت
paraleli	ڤاراللي
paralimpik	ڤاراليمڤيک
paralelisme	ڤارالليسمى
param	ڤارم
param-param	ڤارم٢
paramasastera	ڤاراماسسترا
paramasasterawan	ڤاراماسستراون
paramedik	ڤاراميديک
paramesium	ڤاراميسيوم
parameter	ڤاراميتر
paramilitari	ڤاراميليتاري
paran	ڤارن
memarani	ممڤرني
parang	ڤارڠ
berparang	برڤارڠ
diparang	دڤارڠ
diparangi	دڤارڠي
diparangkan	دڤارڠکن
memarang	ممڤرڠ
memarangkan	ممڤرڠکن
parangan	ڤارڠن
paranoia	ڤارانوءيا
paranoid	ڤارانوءيد
paranormal	ڤارانورمل
parap	ڤارڤ
memarap	ممڤرڤ
parapati	ڤاراڤاتي
paraplasma	ڤاراڤلسما
paraplegia	ڤاراڤليݢيا
paras	ڤارس
diparas	دڤارس
memaras	ممڤرس
parasan	ڤارسن
pemarasan	ڤمارسن
separas	سڤارس
parasetamol	ڤاراسيتامول
parasintesis	ڤاراسينتيسيس
parasit	ڤاراسيت
berparasit	برڤاراسيت
parasitisid	ڤاراسيتيسيد
parasitisme	ڤاراسيتيسمى
parasitologi	ڤاراسيتولوݢي
paratifoid	ڤاراتيفوءيد
paration	ڤاراتيون
parau	ڤاراو
pare	ڤاري
parentesis	ڤارينتسيس
parestesia	ڤاريستيسيا
parewa	ڤاريوا
pargajul	ڤرݢاجول
pari	ڤاري
pari-pari	ڤاري٢
paria	ڤاريا
parih	ڤاريه
memarih	ممڤريه
parik	ڤاريق
paripurna	ڤاريڤورنا
paris	ڤاريس
pariskot	ڤريسکوت
parit	ڤاريت
berparit	برڤاريت
keparitan	کڤاريتن
memarit	ممڤريت
perparitan	ڤرڤاريتن
pariti	ڤاريتي
pariwarta	ڤاريورتا
pariwisata	ڤاريويسات
parji	ڤرجي
parket	ڤرکيت
parkinson	ڤرکينسون
parkinsonisme	ڤرکينسونيسمى
parkir	ڤرکير
memarkir	ممرکير
parkiran	ڤرکيرن
parlemen	ڤرلمين
parlementer	ڤرلمينتير
parlimen	ڤرليمن
berparlimen	برڤرليمن
parodi	ڤرودي
memparodikan	ممڤروديکن
parokhi	ڤاروخي
parokial	ڤاروکيال
parol	ڤارول
paron	ڤارون
paronikia	ڤارونيکيا
parpu	ڤرڤو
parsi	ڤرسي
parsli	ڤرسلي
parsnip	ڤرسنيڤ
partai	ڤرتاي
parti	ڤرتي
berparti	برڤرتي
berparti-parti	برڤرتي-ڤرتي
kepartian	کڤرتين
partikel	ڤرتيکل
partikelir	ڤرتيکلير
partisan	ڤرتيسن
partisipasi	ڤرتيسيڤاسي
paru	ڤارو
paru-paru	ڤارو٢
paruh	ڤاروه
berparuh	برڤاروه
memaruh	ممڤروه
separuh	سڤاروه
parung	ڤاروڠ
parut	ڤاروت
berparut	برڤاروت
diparut	دڤاروت
memarut	ممڤروت
pemarut	ڤماروت
pemarutan	ڤماروتن
parutan	ڤاروتن
parwah	ڤرواه
pas	ڤس
mengepas	مڠڤس
pasah	ڤاسه
memasah	مماسه
terpasah	ترڤاسه
pasai	ڤاساي
pasak	ڤاسق
berpasak	برڤاسق
dipasak	دڤاسق
terpasak	ترڤاسق
pasal	فصل
pasalewa	ڤساليوا
pasang	ڤاسڠ
berpasang	برڤاسڠ
berpasangan	برڤاسڠن
berpasang-pasang	برڤاسڠ-ڤاسڠ
berpasang-pasangan	برڤاسڠ-ڤاسڠن
dipasang	دڤاسڠ
dipasangkan	دڤاسڠکن
masang-memasang	ماسڠ-مماسڠ
memasang	مماسڠ
memasangkan	مماسڠکن
pasangan	ڤاسڠن
pasang-memasang	ڤاسڠ-مماسڠ
pasang-pasang	ڤاسڠ٢
pasang-pasangan	ڤاسڠ-ڤاسڠن
pemasang	ڤماسڠ
pemasangan	ڤماسڠن
sepasang	سڤاسڠ
terpasang	ترڤاسڠ
pasanggrahan	ڤسڠݢراهن
pasar	ڤاسر
dipasarkan	دڤاسرکن
memasarkan	مماسرکن
pasaran	ڤاسرن
pemasar	ڤماسر
pemasaran	ڤماسرن
terpasar	ترڤاسر
pasara	ڤاسرا
pasasir	ڤساسير
pasat	ڤاست
pasca	ڤسچا
pascakolonial	ڤسچاکولونيال
pascamajlis	ڤسچامجليس
pascamatang	ڤسچاماتڠ
pascamati	ڤسچاماتي
pascasiswazah	ڤسچاسيسوازه
paset	ڤاسيت
pasfoto	ڤسفوتو
pasi	ڤاسي
pasien	ڤاسيئين
pasif	ڤاسيف
dipasifkan	دڤاسيفکن
mempasifkan	ممڤاسيفکن
kepasifan	کڤاسيفن
pasifik	ڤاسيفيک
pasifikasi	ڤاسيفيکاسي
pasifis	ڤاسيفيس
pasifisme	ڤاسيفيسمى
pasigrafi	ڤاسيݢرافي
pasik	ڤاسيک
pasilan	ڤسيلن
pasir	ڤاسير
berpasir	برڤاسير
pasir-pasir	ڤاسير٢
pasirah	ڤسيره
pasit	ڤاسيت
paska	ڤسک
paskah	ڤسکه
pasmat	ڤسمت
pasmen	ڤسمين
berpasmen	برڤسمين
paspa	ڤسڤا
pasport	ڤسڤورت
pasrah	ڤسره
dipasrahkan	دڤسرهکن
kepasrahan	کڤسرهن
memasrahkan	ممڤرهکن
terpasrah	ترڤسره
pasta	ڤستا
pastel	ڤستل
pastel	ڤستيل
pasteur	ڤستور
mempasteur	ممڤستور
pempasteur	ڤمڤستور
pempasteuran	ڤمڤستورن
pasti	ڤستي
dipastikan	دڤستيکن
kepastian	کڤستين
ketidakpastian	کتيدقڤستين
memastikan	ممستيکن
pemastian	ڤمستين
pastil	ڤستيل
pastor	ڤستور
pastrami	ڤسترامي
pastri	ڤستري
pastura	ڤستورا
pasu	ڤاسو
memasukan	مماسوکن
pasu-pasu	ڤاسو٢
pasuel	ڤاسوءيل
dipasuel	دڤاسوءيل
pasuk	ڤاسوق
berpasukan	برڤاسوقن
berpasuk-pasukan	برڤاسوق-ڤاسوقن
pasukan	ڤاسوقن
sepasukan	سڤاسوقن
pasumandan	ڤسومندن
pasung	ڤاسوڠ
dipasung	دڤاسوڠ
dipasungkan	دڤاسوڠکن
memasung	مماسوڠ
memasungkan	مماسوڠکن
pasungan	ڤاسوڠن
pemasungan	ڤماسوڠن
pasupati	ڤاسوڤاتي
pata	ڤات
patah	ڤاته
berpatah	برڤاته
dipatahkan	دڤاتهکن
dipatah-patah	دڤاته-ڤاته
mematah	مماته
mematahkan	مماتهکن
mematah-matah	مماته-ماته
mematah-matahkan	مماته-ماتهکن
patahan	ڤاتهن
patah-mematahkan	ڤاته-مماتهکن
pematah	ڤماته
pematahan	ڤماتهن
sepatah	سڤاته
terpatah	ترڤاته
patam	ڤاتم
berpatam	برڤاتم
patang	ڤاتڠ
patar	ڤاتر
mematar	مماتر
patela	ڤاتيلا
paten	ڤاتين
patera	ڤترا
pateri	ڤتري
berpateri	برڤتري
dipateri	دڤتري
dipaterikan	دڤتريکن
memateri	ممڤري
pematerian	ڤمترين
terpateri	ترڤتري
paternalisme	ڤاترناليسمى
patgulipat	ڤتݢوليڤت
mempatgulipatkan	ممڤتݢوليڤتکن
pati	ڤاتي
patih	ڤاتيه
kepatihan	کڤاتيهن
pematih	ڤماتيه
patik	ڤاتيق
berpatik	برڤاتيق
berpatik-patik	برڤاتيق-ڤاتيق
mematik	مماتيق
patil	ڤاتيل
mematil	مماتيل
patin	ڤاتين
pating	ڤاتيڠ
memating	مماتيڠ
patio	ڤاتيو
patis	ڤاتيس
patogen	ڤاتوݢن
patok	ڤاتوق
patokan	ڤاتوقن
patologi	ڤاتولوݢي
patriak	ڤاترياک
patriarki	ڤاتريارکي
patrilineal	ڤاتريلينيال
patrilokal	ڤاتريلوکل
patrimoni	ڤاتريموني
patriot	ڤاتريوت
patriotik	ڤاتريوتيک
patriotisme	ڤاتريوتيسمى
patrol	ڤاترول
patroli	ڤاترولي
berpatroli	برڤاترولي
patrum	ڤاتروم
patuh	ڤاتوه
dipatuhi	دڤاتوهي
patuhilah	دڤاتوهيله
kepatuhan	کڤاتوهن
mematuhi	مماتوهي
pematuhan	ڤماتوهن
patuk	ڤاتوق
dipatuk	دڤاتوق
dipatuk-patuk	دڤاتوق-ڤاتوق
mematuk	مماتوق
mematuk-matuk	مماتوق-ماتوق
patukan	ڤاتوقن
pematukan	ڤماتوقن
terpatuk	ترڤاتوق
patung	ڤاتوڠ
mematung	مماتوڠ
mematungkan	مماتوڠکن
patung-patung	ڤاتوڠ٢
patungan	ڤاتوڠن
patungut	ڤتوڠوت
patut	ڤاتوت
berpatut-patut	برڤاتوت-ڤاتوت
berpatutan	برڤاتوتن
kepatutan	کڤاتوتن
mematut	مماتوت
mematut-matut	مماتوت-ماتوت
mematutkan	مماتوتکن
mematut-matutkan	مماتوت-ماتوتکن
pau	ڤاو
pauh	ڤاءوه
berpauh-pauh	برڤاءوه-ڤاءوه
pauh-pauh	ڤاءوه٢
pauk	ڤاءوق
dipauk	دڤاءوق
memauk	مماءوق
pemauk	ڤماءوق
paul	ڤاءول
paun	ڤاءون
paung	ڤاءوڠ
paupau	ڤاوڤاو
paus	ڤاءوس
paut	ڤاءوت
berpaut	برڤاءوت
berpautan	برڤاءوتن
berpaut-pautan	برڤاءوت-ڤاءوتن
dipautkan	دڤاءوتکن
memaut	مماءوت
memautkan	مماءوتکن
pautan	ڤاءوتن
paut-memaut	ڤاءوت-مماءوت
pemaut	ڤماءوت
perpautan	ڤرڤاءوتن
terpaut	ترڤاءوت
pavilion	ڤاۏيليون
pawagam	ڤاواݢم
pawah	ڤاوه
memawahkan	مماوهکن
pemawah	ڤماوه
pemawahan	ڤماوهن
pawai	ڤاواي
berpawai	برڤاواي
pawaka	ڤاواک
pawana	ڤاوان
pawang	ڤاوڠ
berpawang	برڤاوڠ
perpawangan	ڤرڤاوڠن
pawitera	ڤاويترا
paya	ڤايا
berpaya	برڤايا
berpaya-paya	برڤايا-ڤايا
paya-paya	ڤايا٢
payah	ڤايه
berpayah-payah	برڤايه-ڤايه
kepayahan	کڤايهن
memayahkan	ممايهکن
memayah-mayahkan	ممايه-مايهکن
memperpayah	ممڤرڤايه
payah-payah	ڤايه٢
sepayah-payah	سڤايه-ڤايه
payang	ڤايڠ
payar	ڤاير
payar-payar	ڤاير٢
payau	ڤاياو
payit	ڤايت
payon	ڤايون
payu	ڤايو
berpayu	برڤايو
memayukan	ممايوکن
payudara	ڤايودارا
payuk	ڤايوق
memayuk	ممايوق
payung	ڤايوڠ
berpayung	برڤايوڠ
berpayungkan	برڤايوڠکن
dipayungi	دڤايوڠي
dipayungkan	دڤايوڠکن
memayungi	ممايوڠي
memayungkan	ممايوڠکن
payungan	ڤايوڠن
pear	ڤير
pebahu	ڤباهو
pebean	ڤبيان
pebisi	ڤبيسي
pecacal	ڤچاچل
pecah	ڤچه
berpecah	برڤچه
berpecah-belah	برڤچه-بله
berpecah-pecah	برڤچه-ڤچه
dipecahkan	دڤچهکن
dipecah-pecahkan	دڤچه-ڤچهکن
kepecahan	کڤچهن
memecah	ممچه
memecahbelahkan	ممچهبلهکن
memecahkan	ممچهکن
pecahan	ڤچهن
pecah-belah	ڤچه-بله
pecah-pecah	ڤچه٢
pemecah	ڤمچه
pemecahan	ڤمچهن
perpecahan	ڤرڤچهن
terpecah-pecah	ترڤچه-ڤچه
pecai	ڤيچاي
pecak	ڤيچق
dipecakkan	دڤيچقکن
memecakkan	مميچقکن
pecakari	ڤچاکاري
pecal	ڤچل
dipecal	دڤچل
memecal	ممچل
memecal-mecal	ممچل-مچل
pecat	ڤچت
dipecat	دڤچت
memecat	ممچت
pemecatan	ڤمچتن
terpecat	ترڤچت
peci	ڤيچي
pecicilan	ڤچيچيلن
pecinan	ڤچينن
pecok	ڤچوق
pecok	ڤيچوق
pecomberan	ڤچومبيرن
pecuk	ڤچوق
pecun	ڤيچون
pecus	ڤچوس
pecut	ڤچوت
dipecut	دڤچوت
kepecutan	کڤچوتن
memecut	ممچوت
pecutan	ڤچوتن
pemecut	ڤمچوت
pemecutan	ڤمچوتن
terpecut	ترڤچوت
peda	ڤدا
memeda	ممدا
pedada	ڤدادا
pedagogi	ڤيداݢوݢي
pedak	ڤدق
pedaka	ڤداک
pedal	ڤدل
pedal	ڤيدل
pedanda	ڤدندا
pedang	ڤدڠ
berpedang	برڤدڠ
memedang	ممدڠ
pedangit	ڤداڠيت
pedap	ڤدڤ
memedap	ممدڤ
pedapa	ڤداڤ
pedar	ڤدر
kepedaran	کڤدرن
pedarat	ڤدارت
pedas	ڤدس
dipedaskan	دڤدسکن
kepedasan	کڤدسن
memedaskan	ممدسکن
sepedas	سڤدس
terpedas	ترڤدس
pedati	ڤداتي
berpedati	برڤداتي
pedena	ڤدنا
pedendang	ڤدندڠ
pedengan	ڤيديڠن
pedewakan	ڤديواکن
pediah	ڤدية
pediatrik	ڤيدياتريک
pedigri	ڤيديݢري
pedih	ڤديه
kepedihan	کڤديهن
memedihkan	ممديهکن
pemedih	ڤمديه
sepedih-pedih	سڤديه-ڤديه
pedikir	ڤديکير
pedofilia	ڤيدوفيليا
pedologi	ڤيدولوݢي
pedoman	ڤدومن
berpedoman	برڤدومن
berpedomankan	برڤدومنکن
pedometer	ڤيدوميتر
pedongkang	ڤدوڠکڠ
pedu	ڤدو
pedukang	ڤدوکڠ
peduli	ڤدولي
dipedulikan	دڤدوليکن
kepedulian	کڤدولين
mempedulikan	ممڤدوليکن
pemedulian	ڤمدولين
pedung	ڤدوڠ
pedusi	ڤدوسي
pegaga	ڤݢاݢ
pegagan	ڤݢاݢن
pegah	ڤݢه
terpegah	ترڤݢه
pegal	ڤݢل
memegalkan	ممݢلکن
pegan	ڤݢن
terpegan	ترڤݢن
pegang	ڤݢڠ
berpegang	برڤݢڠ
berpegangan	برڤݢڠن
berpegang-pegangan	برڤݢڠ-ڤݢڠن
dipegang	دڤݢڠ
memegang	ممݢڠ
memegangkan	ممݢڠکن
pegangan	ڤݢڠن
pemegang	ڤمݢڠ
pemegangan	ڤمݢڠن
perpegangan	ڤرڤݢڠن
terpegang	ترڤݢڠ
pegar	ڤݢر
pegari	ڤݢاري
pegas	ڤݢس
memegas	ممݢس
pegat	ڤݢت
memegat	ممݢت
pemegatan	ڤمݢتن
pegatu	ڤݢتو
kepegawaian	کڤݢاواين
pegawam	ڤݢاوم
pegel	ڤݢل
pegimana	ڤݢيمان
pegoh	ڤيݢوه
pegon	ڤيݢون
peguambela	ڤݢوامبيلا
peguamcara	ڤݢوامچارا
pegun	ڤݢون
memegunkan	ممݢونکن
keterpegunan	کترڤݢونن
terpegun	ترڤݢون
pehong	ڤيهوڠ
pejajaran	ڤجاجارن
pejal	ڤجل
dipejalkan	دڤجلکن
kepejalan	کڤجلن
memejalkan	ممجلکن
pemejal	ڤمجل
pemejalan	ڤمجلن
pepejal	ڤڤجل
pejalwap	ڤجلواڤ
memejalwap	ممجلواڤ
memejalwapkan	ممجلواڤکن
pemejalwapan	ڤمجلواڤن
pejam	ڤجم
dipejamkan	دڤجمکن
memejamkan	ممجمکن
pemejaman	ڤمجمن
terpejam	ترڤجم
pejatian	ڤجاتين
pejera	ڤجرا
pejorasi	ڤيجوراسي
pejoratif	فيجوراتيف
pejur	ڤجور
pek	ڤيک
peka	ڤيکا
kepekaan	کڤيکاءن
memeka	مميکا
pekaca	ڤکاچ
pekah	ڤکه
pekaja	ڤکاج
pekak	ڤکق
dipekakkan	دڤکقکن
memekak	ممکق
memekakkan	ممکقکن
pekak-kedadak	ڤکق-کدادق
terpekak	ترڤکق
pekaka	ڤکاک
pekakak	ڤکاکق
pekam	ڤکم
pekan	ڤکن
berpekan-pekan	برڤکن-ڤکن
sepekan	سڤکن
pekap	ڤکڤ
dipekap	دڤکڤ
dipekapkan	دڤکڤکن
memekap	ممکڤ
pemekap	ڤمکڤ
pemekapan	ڤمکڤن
pekarang	ڤکارڠ
pekasam	ڤکاسم
pekat	ڤکت
dipekatkan	دڤکتکن
kepekatan	کڤکتن
memekat	ممکت
memekatkan	ممکتکن
pemekat	ڤمکت
pemekatan	ڤمکتن
terpekat	ترڤکت
pekatu	ڤکاتو
pekatul	ڤکاتول
pekau	ڤکاو
memekau	ممکاو
pekerma	ڤکرما
pekerti	ڤکرتي
berpekerti	برڤکرتي
peket	ڤيکيت
pekik	ڤکيق
berpekik	برڤکيق
dipekikkan	دڤکيقکن
memekik	ممکيق
memekikkan	ممکيقکن
pekikan	ڤکيقن
terpekik	ترڤکيق
terpekik-pekik	ترڤکيق-ڤکيق
pekin	ڤکين
berpekin	برڤکين
terpekin	ترڤکين
peking	ڤکيڠ
memeking	ممکيڠ
pekir	ڤکير
pekis	ڤکيس
memekis	ممکيس
pekiwan	ڤکيوان
pekojan	ڤکوجن
pekong	ڤيکوڠ
dipekong	دڤيکوڠ
memekong	مميکوڠ
terpekong	ترڤيکوڠ
pekpa	ڤيقڤا
peksi	ڤقسي
pektin	ڤيکتين
peku	ڤکو
pekuk	ڤکوق
memekuk	ممکوق
pekuku	ڤکوکو
pekula	ڤکولا
pekulun	ڤکولون
pekung	ڤکوڠ
berpekung	برڤکوڠ
pekup	ڤکوڤ
pekur	ڤکور
memekur	ممکور
pel	ڤيل
pelabi	ڤلابي
pelabur	ڤلابور
pelaga	ڤلاݢ
pelagas	ڤلاݢس
pelagik	ڤيلاݢيق
pelagra	ڤيلاݢرا
pelah	ڤله
pelahang	ڤلاهڠ
terpelahang	ترڤلاهڠ
pelajau	ڤلاجاو
pelak	ڤلق
pelak	ڤيلق
pelakat	ڤلاکت
pelalah	ڤلاله
pelaling	ڤلاليڠ
pelam	ڤلم
pelambai	ڤلمباي
pelamin	ڤلامين
pelaminan	ڤلامينن
pelampang	ڤلمڤڠ
pelampas	ڤلمڤس
pelampung	ڤلمڤوڠ
pelampung	ڤلامڤوڠ
pelan	ڤلن
pelan	ڤيلن
pelana	ڤلان
berpelana	برڤلان
dipelanai	دڤلاناءي
memelanai	مملاناءي
pelancar	ڤلنچر
pelancaran	ڤلنچرن
pelancit	ڤلنچيت
terpelancit	ترڤلنچيت
pelanduk	ڤلندوق
pelang	ڤلڠ
pelang	ڤيلڠ
pelanga	ڤلاڠا
pelangah	ڤلاڠه
terpelangah	ترڤلاڠه
pelangeh	ڤلاڠيه
pelangih	ڤلاڠيه
pelangis	ڤلاڠيس
pelanggi	ڤلڠݢي
pelangi	ڤلاڠي
pelangki	ڤلڠکي
pelangkin	ڤلڠکين
pelangking	ڤلڠکيڠ
pelangkung	ڤلڠکوڠ
pelantar	ڤلنتر
pelantaran	ڤلنترن
pelantik	ڤلنتيق
pelantik	ڤلانتيق
pelanting	ڤلنتيڠ
berpelantingan	برڤلنتيڠن
dipelantingkan	دڤلنتيڠکن
memelantingkan	مملنتيڠکن
terpelanting	ترڤلنتيڠ
terpelanting	ترڤلانتيڠ
pelara	ڤلارا
pelas	ڤلس
memelas	مملس
pelasari	ڤلاساري
pelasuh	ڤلاسوه
pelat	ڤلت
pelat	ڤيلت
pelata	ڤلات
pelatuk	ڤلاتوق
palatut	ڤلاتوت
pelawa	ڤلاوا
dipelawa	دڤلاوا
mempelawa	ممڤلاوا
pelawaan	ڤلاواءن
pelawai	ڤلاواي
pelawan	ڤلاون
pelawas	ڤلاوس
pelayon	ڤلايون
pelbak	ڤيلبک
pelebaya	ڤلباي
pelecet	ڤليچيت
pelecok	ڤليچوق
terpelecok	ترڤليچوق
pelek	ڤيلق
berpelekat	برڤلکت
pelekat	ڤليکت
pelekat	ڤلکت
pelekok	ڤليکوق
terpelekok	ترڤليکوق
pelekuh	ڤلکوه
dipelekuh	دڤلکوه
mempelekuh	ممڤلکوه
terpelekuh	ترڤلکوه
pelempap	ڤلمڤڤ
sepelempap	سڤلمڤڤ
pelencit	ڤلنچيت
terpelencit	ترڤلنچيت
pelengak	ڤلڠق
pelengan	ڤلڠن
pelengset	ڤليڠسيت
pelepah	ڤلڤه
memelepah	مملڤه
mempelepah	ممڤلڤه
pelepar	ڤلڤر
berpelepar	برڤلڤر
pelepat	ڤلڤت
peles	ڤليس
pelesat	ڤلست
terpelesat	ترڤلست
peleset	ڤليسيت
terpeleset	ترڤليسيت
pelesir	ڤلسير
berpelesir	برڤلسير
berpelesiran	برڤلسيرن
kepelesiran	کڤلسيرن
pelesiran	ڤلسيرن
pelesit	ڤلسيت
pelet	ڤليت
pelet	ڤيليت
memelet	مميليت
peletan	ڤيليتن
peleting	ڤلتيڠ
peletok	ڤليتوق
terpeletok	ترڤليتوق
pelias	ڤلياس
pelibas	ڤليبس
pelih	ڤليه
pelihara	ڤليهارا
dipelihara	دڤليهارا
keterpeliharaan	کترڤليهاراءن
memelihara	ممليهارا
memeliharakan	ممليهاراکن
peliharaan	ڤليهاراءن
pemelihara	ڤمليهارا
pemeliharaan	ڤمليهاراءن
terpelihara	ترڤليهارا
pelik	ڤليق
kepelikan	کڤليقن
memelikkan	ممليقکن
pelikan	ڤليقن
pelimau	ڤليماو
pelimban	ڤليمبن
pelinggam	ڤليڠݢم
pelinting	ڤلينتيڠ
pelipat	ڤليڤت
pelipatan	ڤليڤتن
pelipis	ڤليڤيس
pelipisan	ڤليڤيسن
pelir	ڤلير
pelisir	ڤليسير
pelit	ڤليت
pelita	ڤليتا
pelitik	ڤليتيق
pelitor	ڤليتور
dipelitor	دڤليتور
pelitoran	ڤليتورن
pelo	ڤيلو
pelog	ڤيلوݢ
peloh	ڤلوه
pelohong	ڤلوهوڠ
terpelohong	ترڤلوهوڠ
pelonci	ڤلونچي
pelonco	ڤلونچو
dipelonco	دڤلونچو
memelonco	مملونچو
perpeloncoan	ڤرڤلونچوان
pelong	ڤيلوڠ
pelonok	ڤلونوق
terpelonok	ترڤلونوق
pelontang	ڤلونتڠ
pelopak	ڤلوڤق
pelopor	ڤلوڤور
dipelopori	دڤلوڤوري
kepeloporan	کڤلوڤورن
memelopori	مملوڤوري
mempelopori	ممڤلوڤوري
pelor	ڤيلور
pelosok	ڤلوسوق
